point,total_visit_count,positive_visit_count,median_positives_count,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 1 - c,1,0,,,,,0.0
LF - 1 - e,1,1,1.0,0.0,1.0,0.0,1.0
LF - 1 - i,1,1,1.0,0.0,1.0,0.0,1.0
LF - 2 - c,1,0,,,,,0.0
LF - 2 - e,1,0,,,,,0.0
LF - 2 - i,1,0,,,,,0.0
LF - 3 - c,1,0,,,,,0.0
LF - 3 - e,1,0,,,,,0.0
LF - 3 - i,1,0,,,,,0.0
LF - 4 - c,1,0,,,,,0.0
LF - 4 - e,1,0,,,,,0.0
LF - 4 - i,1,0,,,,,0.0
LF - 5 - c,1,1,1.0,0.0,1.0,0.0,1.0
LF - 5 - e,1,0,,,,,0.0
LF - 5 - i,1,0,,,,,0.0
LH - 1 - c,1,0,,,,,0.0
LH - 1 - e,1,0,,,,,0.0
LH - 1 - i,1,0,,,,,0.0
LH - 2 - c,1,0,,,,,0.0
LH - 2 - e,1,0,,,,,0.0
LH - 2 - i,1,0,,,,,0.0
LH - 3 - c,1,0,,,,,0.0
LH - 3 - e,1,0,,,,,0.0
LH - 3 - i,1,0,,,,,0.0
LH - 4 - c,1,0,,,,,0.0
LH - 4 - e,1,0,,,,,0.0
LH - 4 - i,1,0,,,,,0.0
LH - 5 - c,1,0,,,,,0.0
LH - 5 - e,1,0,,,,,0.0
LH - 5 - i,1,0,,,,,0.0
RF - 1 - c,1,0,,,,,0.0
RF - 1 - e,1,0,,,,,0.0
RF - 1 - i,1,0,,,,,0.0
RF - 2 - c,1,0,,,,,0.0
RF - 2 - e,1,0,,,,,0.0
RF - 2 - i,1,0,,,,,0.0
RF - 3 - c,1,1,1.0,0.0,1.0,0.0,1.0
RF - 3 - e,1,0,,,,,0.0
RF - 3 - i,1,0,,,,,0.0
RF - 4 - c,1,0,,,,,0.0
RF - 4 - e,1,0,,,,,0.0
RF - 4 - i,1,0,,,,,0.0
RF - 5 - c,1,0,,,,,0.0
RF - 5 - e,1,0,,,,,0.0
RF - 5 - i,1,0,,,,,0.0
RH - 1 - c,1,0,,,,,0.0
RH - 1 - e,1,0,,,,,0.0
RH - 1 - i,1,0,,,,,0.0
RH - 2 - c,1,0,,,,,0.0
RH - 2 - e,1,0,,,,,0.0
RH - 2 - i,1,0,,,,,0.0
RH - 3 - c,1,0,,,,,0.0
RH - 3 - e,1,0,,,,,0.0
RH - 3 - i,1,0,,,,,0.0
RH - 4 - c,1,0,,,,,0.0
RH - 4 - e,1,0,,,,,0.0
RH - 4 - i,1,0,,,,,0.0
RH - 5 - c,1,0,,,,,0.0
RH - 5 - e,1,0,,,,,0.0
RH - 5 - i,1,0,,,,,0.0
