point,total_visit_count,positive_visit_count,median_descent_slope,median_descent_depth,median_descent_length,median_mean_per_step_decrease,positive_prevalence
LF - 1 - c [43],902,73,-207.5,185.7142857142857,2.0,98.76543209876543,0.08093126385809313
LF - 1 - e [32],1801,365,-171.42857142857144,237.5,2.0,126.9230769230769,0.20266518600777345
LF - 1 - i [31],1205,210,-161.20071684587813,208.57142857142856,2.0,114.28571428571428,0.17427385892116182
LF - 2 - c [44],1137,178,-147.39304812834223,187.12121212121215,2.0,114.44444444444446,0.1565523306948109
LF - 2 - e [34],1547,254,-151.9230769230769,237.39130434782606,2.0,134.3913043478261,0.16418875242404654
LF - 2 - i [33],994,103,-160.0,236.36363636363637,2.0,132.5,0.10362173038229376
LF - 3 - c [36],1353,216,-173.5,231.25,2.0,143.01948051948057,0.15964523281596452
LF - 3 - e [37],1414,209,-142.8571428571429,166.66666666666669,2.0,109.0909090909091,0.1478076379066478
LF - 3 - i [35],1585,313,-173.15789473684208,257.1428571428571,2.0,141.66666666666666,0.1974763406940063
LF - 4 - c [39],1255,169,-141.9354838709677,192.98245614035088,2.0,124.99999999999994,0.1346613545816733
LF - 4 - e [40],1206,131,-148.07692307692304,230.0,2.0,116.0,0.10862354892205639
LF - 4 - i [38],1324,192,-171.0084033613445,203.5714285714286,2.0,125.00000000000001,0.14501510574018128
LF - 5 - c [45],1359,115,-166.66666666666663,178.57142857142864,2.0,118.8888888888889,0.08462104488594555
LF - 5 - e [42],1305,144,-162.5,213.3529411764706,2.0,135.16483516483515,0.1103448275862069
LF - 5 - i [41],1205,193,-146.66666666666674,202.5,2.0,115.38461538461537,0.16016597510373445
LH - 1 - c [2],1602,386,-183.01435406698567,228.3422459893048,2.0,137.08994708994706,0.24094881398252185
LH - 1 - e [3],1522,376,-158.6206896551724,194.11764705882354,2.0,120.29411764705883,0.24704336399474375
LH - 1 - i [1],1055,159,-159.99999999999997,205.88235294117646,2.0,112.5,0.15071090047393365
LH - 2 - c [5],1907,588,-169.23076923076928,211.11111111111111,2.0,133.33333333333331,0.3083377031987415
LH - 2 - e [6],1365,283,-175.0,199.99999999999994,2.0,125.0,0.20732600732600734
LH - 2 - i [4],1942,534,-149.16666666666663,195.77586206896552,2.0,115.38461538461536,0.2749742533470649
LH - 3 - c [8],1249,263,-178.57142857142858,180.0,2.0,113.33333333333333,0.21056845476381106
LH - 3 - e [9],1864,528,-166.0919540229885,192.58241758241758,2.0,116.90283400809716,0.2832618025751073
LH - 3 - i [7],1195,241,-152.63157894736838,164.70588235294122,2.0,105.55555555555554,0.20167364016736403
LH - 4 - c [11],1464,375,-139.56521739130432,173.33333333333334,2.0,104.34782608695656,0.25614754098360654
LH - 4 - e [12],1261,242,-160.66176470588235,188.46153846153857,2.0,125.32051282051282,0.19191118160190326
LH - 4 - i [10],1560,446,-162.50000000000006,177.12418300653593,2.0,114.85507246376814,0.2858974358974359
LH - 5 - c [15],1477,375,-153.0555555555556,233.33333333333337,2.0,133.33333333333334,0.25389302640487477
LH - 5 - e [14],2155,650,-150.0,212.91666666666663,2.0,115.80459770114942,0.30162412993039445
LH - 5 - i [13],1480,349,-166.0,217.85714285714286,2.0,127.77777777777777,0.23581081081081082
RF - 1 - c [58],913,82,-189.53598484848482,188.77192982456145,2.0,90.21929824561403,0.08981380065717415
RF - 1 - e [47],1555,268,-173.36956521739134,215.38461538461542,2.0,143.21212121212125,0.17234726688102894
RF - 1 - i [46],1442,179,-150.5654761904762,234.78260869565221,2.0,108.33333333333336,0.12413314840499307
RF - 2 - c [59],990,67,-137.5,162.0689655172413,2.0,116.23931623931621,0.06767676767676768
RF - 2 - e [49],1421,205,-176.47058823529417,260.0,2.0,156.25,0.1442646023926812
RF - 2 - i [48],969,76,-188.23529411764707,233.33333333333337,2.0,159.7689075630252,0.0784313725490196
RF - 3 - c [51],1295,201,-141.66666666666666,206.66666666666669,2.0,113.04347826086953,0.1552123552123552
RF - 3 - e [52],1332,183,-180.0,218.75,2.0,137.2549019607843,0.1373873873873874
RF - 3 - i [50],1545,257,-168.421052631579,204.34782608695653,2.0,136.36363636363637,0.1663430420711974
RF - 4 - c [54],1267,136,-163.63636363636365,200.0,2.0,133.75,0.10734017363851618
RF - 4 - e [55],1167,133,-145.65217391304344,226.66666666666666,2.0,115.78947368421052,0.11396743787489289
RF - 4 - i [53],1421,197,-156.25,199.99999999999997,2.0,125.73099415204679,0.1386347642505278
RF - 5 - c [60],1248,125,-150.0,235.71428571428572,2.0,117.30769230769232,0.10016025641025642
RF - 5 - e [57],1362,179,-140.54621848739495,199.9999999999999,2.0,109.52380952380952,0.13142437591776798
RF - 5 - i [56],1140,119,-168.75,187.50000000000006,2.0,142.85714285714286,0.10438596491228071
RH - 1 - c [17],1625,375,-176.66666666666669,246.66666666666669,2.0,134.21052631578945,0.23076923076923078
RH - 1 - e [18],1371,317,-166.28787878787875,188.0,2.0,120.0,0.2312180889861415
RH - 1 - i [16],1124,154,-163.63636363636363,200.0,2.0,132.73809523809524,0.13701067615658363
RH - 2 - c [20],1854,514,-171.13095238095238,231.0344827586207,2.0,153.23886639676113,0.2772384034519957
RH - 2 - e [21],1164,190,-166.66666666666669,198.33333333333331,2.0,141.1764705882353,0.16323024054982818
RH - 2 - i [19],1870,457,-152.38095238095232,211.11111111111114,2.0,127.77777777777773,0.24438502673796791
RH - 3 - c [23],1135,187,-160.86956521739125,190.47619047619048,2.0,135.0,0.1647577092511013
RH - 3 - e [24],1463,294,-167.5,216.22807017543863,2.0,127.22222222222223,0.20095693779904306
RH - 3 - i [22],1182,193,-166.66666666666663,217.39130434782612,2.0,115.0,0.16328257191201354
RH - 4 - c [26],1397,360,-183.33333333333331,183.33333333333331,2.0,117.42424242424241,0.25769506084466715
RH - 4 - e [27],1207,218,-151.66666666666666,155.0420168067227,2.0,106.97115384615385,0.18061309030654515
RH - 4 - i [25],1518,391,-170.0,200.00000000000006,2.0,120.83333333333331,0.25757575757575757
RH - 5 - c [30],1359,317,-161.5384615384616,175.0,2.0,104.0,0.2332597498160412
RH - 5 - e [29],1924,519,-165.3846153846154,226.0,2.0,141.66666666666669,0.2697505197505197
RH - 5 - i [28],1645,327,-162.50000000000006,221.0526315789474,2.0,145.61403508771932,0.19878419452887539
Thyroid - LH [61],237,22,-199.00181488203265,54.23380505347717,2.0,54.23380505347717,0.09282700421940929
Thyroid - RH [62],210,10,-179.99999999999994,10.0,1.5,10.0,0.047619047619047616
